[2023-09-14 23:13:31.900] [pxr_streamer] [info] ***********  Log Begin **********
[2023-09-14 23:13:31.900] [pxr_streamer] [info] process id= 5916
[2023-09-14 23:13:31.900] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:13:31.905] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0xa5762fc0
[2023-09-14 23:13:31.905] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0xa5762fc0
[2023-09-14 23:13:34.943] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:13:37.986] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:13:41.030] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:13:44.075] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:13:47.125] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:13:50.158] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:13:53.187] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:13:56.225] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:13:59.276] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:14:02.309] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:14:05.345] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:14:08.402] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:14:11.444] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:14:14.491] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:14:17.520] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:14:20.566] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:14:23.603] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:14:26.641] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:14:29.668] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:14:32.692] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:14:35.730] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
[2023-09-14 23:14:38.769] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= 無法連線，因為目標電腦拒絕連線。, this = 0xa5762fc0
